NO,provinceOffice,address,subdistrict,district,province,postcode,email,telephone,fax,URL,longtitude,latitude
"1","พมจ. กำแพงเพชร","ศาลากลางจังหวัดกำแพงเพชร","หนองปลิง","เมือง","กำแพงเพชร","62000","kamphaengphet@m-society.go.th","055-705030","055-705031","www.kamphaengphetm-society.go.th","16.555489","99.511305"
"2","พมจ. เชียงราย","ศาลากลางจังหวัดเชียงราย (ชั้น1) ถนนแม่ฟ้าหลวง","ริมกก","เมือง","เชียงราย","57100","chiangrai@m-society.go.th","053 150153","053 150153","www.chiangrai.m-society.go.th","19.921004","99.813854"
"3","พมจ. เชียงใหม่","ศาลากลางจังหวัดเชียงใหม่  ถนนโชตนา","ช้างเผือก","เมืองเชียงใหม่","เชียงใหม่","50300","chiangmai@m-society.go.th","053 112719","053 112718","www.chiangmai.m-society.go.th","18.83712","98.97077"
"4","พมจ. ตาก","ศาลากลางจังหวัดตาก  (หลังเก่า)  ถนนพหลโยธิน","หนองหลวง","เมืองตาก","ตาก","63000","tak@m-society.go.th","055 511452, 055 517446","055 511452, 055 517446","www.tak.m-society.go.th","16.885251","99.126506"
"5","พมจ. น่าน","ศาลากลางจังหวัดน่าน  ถนนสุริยพงษ์","ในเวียง","เมือง","น่าน","55000","nan@m-society.go.th","054 775404","054 710220","www.nan.m-society.go.th","18.787799","100.784554"
"6","พมจ. นครสวรรค์","ศาลากลางจังหวัดนครสวรรค์ ถนนสวรรค์วิถี","นครสวรรค์ตก","เมือง","นครสวรรค์","60000","nakhonsawan@m-society.go.th","056 803532-5","056 803532-5","www.nakhonsawan.m-society.go.th","15.691075","100.114006"
"7","พมจ. พะเยา","ศาลากลางจังหวัดพะเยา (หลังเก่า)  ชั้น 1","บ้านต๋อม","เมือง","พะเยา","56000","phayao@m-society.go.th","054 411146-7","054 411146","www.phayao.m-society.go.th","19.191747","99.879882"
"8","พมจ. พิจิตร","ศาลากลางจังหวัดพิจิตร  ถนนพิจิตร- ตะพานหิน","ท่าหลวง","เมืองพิจิตร","พิจิตร","66000","phichit@m-society.go.th","056 611130, 056 615513","056 611130, 056 615513 ต่อ 17","www.phichit.m-society.go.th","16.419754","100.361652"
"9","พมจ. พิษณุโลก","ศาลากลางจังหวัดพิษณุโลก  (ชั้น 1) ถนนวังจันทน์","ในเมือง","เมืองพิษณุโลก","พิษณุโลก","65000","phitsanulok@m-society.go.th","055 246827","055 259565","www.phitsanulok.m-society.go.th","16.826157","100.259938"
"10","พมจ. เพชรบูรณ์","ศูนย์ราชการจังหวัดเพชรบูรณ์ ชั้น 1  ถนนสระบุรี  หล่มสัก","ในเมือง","เมืองเพชรบูรณ์","เพชรบูรณ์","67000","phetchabun@m-society.go.th","056 729749 50","056 729749","www.phetchabun.m-society.go.th","16.41919","101.159556"
"11","พมจ. แพร่","ศาลากลางจังหวัดแพร่   ถนนไชยบูรณ์","ในเวียง","เมืองแพร่","แพร่","54000","phrae@m-society.go.th","054 511572-3","054 511572-3","www.phrae.m-society.go.th","18.14469","100.140249"
